Location,Date,Temperature,Humidity
Mumbai,2021-05-02 09:52:07.535456,30.8,94.0
Mumbai,2021-05-02 09:52:09.794618,30.8,94.0
Mumbai,2021-05-02 09:52:12.053963,30.8,94.0
Mumbai,2021-05-02 09:52:14.313243,30.8,93.9
Mumbai,2021-05-02 09:52:16.572568,30.8,93.9
Mumbai,2021-05-02 09:52:18.831478,30.8,93.9
Mumbai,2021-05-02 09:52:21.090835,30.8,93.9
Mumbai,2021-05-02 09:52:23.350124,30.8,93.9
Mumbai,2021-05-02 09:52:25.609202,30.8,93.9
Mumbai,2021-05-02 09:52:27.868577,30.8,93.9
Mumbai,2021-05-02 09:52:30.128116,30.8,93.9
Mumbai,2021-05-02 09:52:32.387712,30.9,93.9
Mumbai,2021-05-02 09:52:34.647071,30.9,93.9
Mumbai,2021-05-02 09:52:36.906371,30.9,93.9
Mumbai,2021-05-02 09:52:39.165679,30.9,93.9
Mumbai,2021-05-02 09:52:41.424788,30.9,93.9
Mumbai,2021-05-02 09:52:43.684084,30.9,93.9
Mumbai,2021-05-02 09:52:45.943425,30.8,93.8
Mumbai,2021-05-02 09:52:48.202739,30.9,93.9
Mumbai,2021-05-02 09:52:50.462108,30.9,93.8
Mumbai,2021-05-02 09:52:52.721380,30.9,93.8
Mumbai,2021-05-02 09:52:54.980766,30.9,93.8
Mumbai,2021-05-02 09:52:57.239916,30.9,93.8
Mumbai,2021-05-02 09:52:59.499253,30.9,93.8
Mumbai,2021-05-02 09:53:01.758666,30.9,93.8
Mumbai,2021-05-02 09:53:04.017983,30.9,93.8
Mumbai,2021-05-02 09:53:06.277331,30.9,93.8
Mumbai,2021-05-02 09:53:08.536676,30.9,93.8
Mumbai,2021-05-02 09:53:10.795991,30.9,93.8
Mumbai,2021-05-02 09:53:13.055322,30.9,93.8
Mumbai,2021-05-02 09:53:15.314618,30.8,93.7
Mumbai,2021-05-02 09:53:17.573945,30.8,93.7
Mumbai,2021-05-02 09:53:19.833235,30.8,93.8
Mumbai,2021-05-02 09:53:22.092581,30.8,93.8
Mumbai,2021-05-02 09:53:24.351946,30.8,93.8
Mumbai,2021-05-02 09:53:26.611209,30.8,93.8
Mumbai,2021-05-02 09:53:28.870584,30.8,93.8
Mumbai,2021-05-02 09:53:31.129835,30.8,93.8
Mumbai,2021-05-02 09:53:33.389072,30.8,93.8
Mumbai,2021-05-02 09:53:35.648357,30.8,93.8
Mumbai,2021-05-02 09:53:37.907594,30.8,93.8
Mumbai,2021-05-02 09:53:40.166957,30.8,93.8
Mumbai,2021-05-02 09:53:42.426280,30.8,93.8
Mumbai,2021-05-02 09:53:44.685576,30.8,93.8
Mumbai,2021-05-02 09:53:46.944875,30.8,93.9
Mumbai,2021-05-02 09:53:49.204193,30.8,93.9
Mumbai,2021-05-02 09:53:51.463488,30.8,93.9
Mumbai,2021-05-02 09:53:53.722826,30.8,93.9
Mumbai,2021-05-02 09:53:55.982132,30.7,93.9
Mumbai,2021-05-02 09:53:58.241396,30.8,93.9
Mumbai,2021-05-02 09:54:00.500748,30.8,93.9
Mumbai,2021-05-02 09:54:02.760025,30.7,93.9
Mumbai,2021-05-02 09:54:05.019332,30.7,93.9
Mumbai,2021-05-02 09:54:07.278665,30.7,93.9
Mumbai,2021-05-02 09:54:09.538005,30.7,93.9
Mumbai,2021-05-02 09:54:11.797322,30.7,93.9
